"","CODE","GVC_Ui","YEAR","BEA_CLASS"
"247","33441A",2.94501090049744,"2002","BEA2002"
"248","334510",1.17904794216156,"2002","BEA2002"
"249","334511",1.37550497055054,"2002","BEA2002"
"250","334512",2.58485794067383,"2002","BEA2002"
"251","334513",1.81012904644012,"2002","BEA2002"
"252","334514",1.97021305561066,"2002","BEA2002"
"253","334515",1.37509894371033,"2002","BEA2002"
"254","334516",1.30569696426392,"2002","BEA2002"
"255","334517",1.14845705032349,"2002","BEA2002"
"256","33451A",1.37951302528381,"2002","BEA2002"
"257","334613",2.43109703063965,"2002","BEA2002"
"258","33461A",3.14885401725769,"2002","BEA2002"
"259","335110",1.9023699760437,"2002","BEA2002"
"260","335120",2.01792407035828,"2002","BEA2002"
"261","335210",1.1999249458313,"2002","BEA2002"
"262","335221",1.09354496002197,"2002","BEA2002"
"263","335222",1.05001497268677,"2002","BEA2002"
"264","335224",1.05677700042725,"2002","BEA2002"
"265","335228",1.46368801593781,"2002","BEA2002"
"266","335311",1.50391495227814,"2002","BEA2002"
"267","335312",2.34171390533447,"2002","BEA2002"
"268","335313",2.05185890197754,"2002","BEA2002"
"269","335314",2.7311749458313,"2002","BEA2002"
"270","335911",1.9757399559021,"2002","BEA2002"
"271","335912",1.12008595466614,"2002","BEA2002"
"272","335920",2.74173092842102,"2002","BEA2002"
"273","335930",2.42072701454163,"2002","BEA2002"
"274","335991",3.74842810630798,"2002","BEA2002"
"275","335999",1.33429801464081,"2002","BEA2002"
"276","336111",1.00033605098724,"2002","BEA2002"
"277","336112",1.00054001808167,"2002","BEA2002"
"278","336120",1.11767399311066,"2002","BEA2002"
"279","336211",1.61397695541382,"2002","BEA2002"
"280","336212",1.01652503013611,"2002","BEA2002"
"281","336213",1.0122549533844,"2002","BEA2002"
"282","336214",1.25869405269623,"2002","BEA2002"
"283","336300",2.29505109786987,"2002","BEA2002"
"284","336411",1.283282995224,"2002","BEA2002"
"285","336412",2.69418501853943,"2002","BEA2002"
"286","336413",2.43014693260193,"2002","BEA2002"
"287","336414",1.63301801681519,"2002","BEA2002"
"288","33641A",2.0216019153595,"2002","BEA2002"
"289","336500",1.77493596076965,"2002","BEA2002"
"290","336611",1.31144499778748,"2002","BEA2002"
"291","336612",1.03357601165771,"2002","BEA2002"
"292","336991",1.21989798545837,"2002","BEA2002"
"293","336992",1.06956303119659,"2002","BEA2002"
"294","336999",1.2242180109024,"2002","BEA2002"
"295","337110",2.10021901130676,"2002","BEA2002"
"296","337121",1.00724494457245,"2002","BEA2002"
"297","337122",1.00519895553589,"2002","BEA2002"
"298","337127",1.08654594421387,"2002","BEA2002"
"299","33712A",1.09581804275513,"2002","BEA2002"
"300","337212",1.22529101371765,"2002","BEA2002"
"301","337215",1.46820998191833,"2002","BEA2002"
"302","33721A",2.0079619884491,"2002","BEA2002"
"303","337910",1.02884495258331,"2002","BEA2002"
"304","337920",1.04127395153046,"2002","BEA2002"
"305","339111",1.03828096389771,"2002","BEA2002"
"306","339112",1.43845903873444,"2002","BEA2002"
"307","339113",1.69454205036163,"2002","BEA2002"
"308","339114",1.73396599292755,"2002","BEA2002"
"309","339115",1.05722904205322,"2002","BEA2002"
"310","339116",2.00651907920837,"2002","BEA2002"
"311","339910",1.13917899131775,"2002","BEA2002"
"312","339920",1.08496594429016,"2002","BEA2002"
"313","339930",1.03036797046661,"2002","BEA2002"
"314","339940",1.98070096969604,"2002","BEA2002"
"315","339950",1.13404095172882,"2002","BEA2002"
"316","339991",3.13291311264038,"2002","BEA2002"
"317","339992",1.15376305580139,"2002","BEA2002"
"318","339994",1.80924797058105,"2002","BEA2002"
"319","33999A",1.43600499629974,"2002","BEA2002"
"320","420000",1.89192199707031,"2002","BEA2002"
"321","481000",1.61376202106476,"2002","BEA2002"
"322","482000",2.88022208213806,"2002","BEA2002"
